Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
19/03/2021,93.67900848,12.18897057,30.79999924,13.6656065,342.7023621,20.56611633,41.08526993,38.20244598,13.89000034,44.92037201,1384.506592,149.343399,193.279892,51.84160995,138.5263519,18.35000038,97.53833771,91.47123718,230.735199,31.96742249,79.90002441,64.19792938,68.05342102,114.9386826,51.11723328,277.4404602,142.8446198,105.2377777,40.31464005,42.55990601,60.90776062
22/03/2021,93.46897125,12.16905499,30.80999947,13.59885216,344.5545349,20.97471428,40.32904434,38.34697723,13.81999969,44.43904877,1380.62793,149.2566833,194.4161224,52.7695961,139.3049316,18.80999947,101.5860062,91.18462372,227.0167542,31.78808212,80.85746002,65.0295639,67.86968994,117.0974655,52.02869034,282.0383301,144.9791718,106.3428802,39.90126038,43.52513885,61.09408188
23/03/2021,93.38677979,11.93005466,30.69000053,13.41766071,333.9278259,20.86255074,40.71194458,38.31084061,13.26000023,44.56674194,1373.584717,149.9792175,190.0003357,52.21860504,138.0040283,18.27000046,98.44072723,91.08611298,226.7586365,30.89138222,81.09889221,65.46927643,68.31063843,114.9386826,51.06977463,277.0106812,143.3804779,104.0239868,38.13946152,43.67440033,61.5157547
24/03/2021,92.90276337,11.67113876,30.80999947,13.40812588,334.5078125,20.63822174,41.41073608,37.01906204,13.43999958,45.37222672,1366.511597,152.0793915,185.4295807,52.19927216,138.8614349,18.28000069,98.48454285,89.58143616,224.9519958,30.79273987,80.82415771,66.27145386,67.60327911,109.5248337,50.82292175,270.5336914,143.2911835,102.3391647,38.32646561,44.88841248,63.03575134
25/03/2021,91.7429657,11.92009735,31.21999931,13.47487926,322.459198,20.82249069,41.27672577,38.0579071,13.56999969,44.14435577,1370.323364,150.8077393,179.963623,52.95325851,138.723465,18.42000008,103.0578766,90.08299255,226.6152649,30.96311188,80.09983826,66.47441864,67.53897095,107.0118637,51.83880234,270.9634705,142.2373047,102.7286682,38.93669891,43.40572739,64.21252441
26/03/2021,92.81143951,11.81055546,31.45000076,13.39858913,327.4638672,21.55155945,40.88425064,37.79593658,13.82999992,44.94983673,1373.887207,148.100647,179.6967773,53.86191559,137.4225769,18.44000053,100.8588257,91.7130661,233.3543396,30.88240814,79.03417206,68.81329346,67.67677307,105.9156113,53.1205368,267.3251953,146.8546906,100.5999908,38.3658371,43.30622101,68.59599304
29/03/2021,95.65158844,12.03959656,31.97999954,13.6083889,334.7135925,21.6637249,42.32970047,37.86820221,13.93000031,45.95177841,1373.996704,152.2624512,181.9778442,56.16254425,139.5907288,18.86000061,102.5935364,93.00276947,234.0043793,30.91827965,79.49207306,70.77524567,68.67810059,109.14534,53.72816849,269.8639832,149.1231995,101.7775574,38.66110992,43.78385925,65.02645874
30/03/2021,94.88447571,12.13917923,30.93000031,13.61792469,334.9942627,21.75185013,41.05655289,37.57913208,14.89999962,45.92230988,1380.039429,151.8674622,183.6047363,55.49555969,142.0447235,18.82999992,102.7862854,93.13710785,232.5705261,31.09762192,79.55036163,69.24822235,67.95236969,108.9176788,54.13642502,262.9472351,147.7210388,101.0076218,37.64734268,43.44553375,64.95780945
31/03/2021,92.09912872,11.7508049,30.28000069,13.31276035,339.5966797,22.08834648,41.06613159,37.26296234,14.42000008,45.93213272,1368.083496,148.447464,183.9145966,54.01657867,139.8075562,18.56999969,100.8675842,96.2449646,230.7447357,31.32179451,78.60124969,69.22888184,67.28175354,108.3779831,51.81032181,263.506958,139.6472626,101.8319092,35.80680466,42.60965729,63.22207642
05/04/2021,94.11736298,11.69095421,31.54000092,13.61792469,346.4535217,22.28062439,41.20971298,37.73270035,14.65999985,46.20717621,1372.374023,153.8134918,184.999176,55.85321808,139.7582703,18.86000061,107.5173264,95.5284729,233.8514252,30.95414734,78.49301147,70.27268219,67.55735779,109.9886322,52.96863174,262.2975464,142.5588226,101.0529099,36.57451248,44.12218857,65.56581879
06/04/2021,94.63789368,11.79070663,31.12999916,13.51302528,347.3702698,22.41682625,40.75980759,37.85013962,14.17000008,46.55097961,1380.786011,157.0504608,186.7637787,56.96487045,138.5559235,18.95999908,105.2043762,94.65073395,233.6602631,32.6528511,78.76774597,71.94468689,67.20827484,108.8164749,53.13002777,267.7250061,143.1304016,102.9188919,37.8934021,43.24651337,63.84968185
07/04/2021,94.32740784,11.7508049,30.36000061,13.44626999,348.9137573,23.13788033,40.62578964,37.97660446,14.43999958,46.95372009,1381.681885,155.8269653,187.7450714,57.63186264,137.7083588,19.22999954,103.8288727,94.30143738,236.3041992,32.7189064,78.67617035,71.83837128,68.57705688,110.3343811,52.41795731,265.2961426,143.157196,103.0819397,38.98591232,43.68435287,62.7317543
08/04/2021,95.52372742,11.68097878,30.59000015,13.74189758,354.2084045,23.18595314,40.33861542,38.76251602,14.38000011,46.3348732,1377.839233,156.6361847,190.0519714,57.40953064,135.4613495,19.04999924,104.1617813,92.41165161,237.2368011,33.17189789,80.24969482,72.2636261,68.69647217,112.0040665,50.87039185,271.063446,143.3626251,103.3899078,39.81267929,43.276371,64.8303299
09/04/2021,95.50547028,11.66102791,30.84000015,13.45580578,346.0232239,23.51443291,40.29075241,39.86459732,14.42000008,46.39381409,1372.59314,156.9444733,190.0691833,55.47622299,136.437027,18.70000076,102.3394623,90.96968079,234.4101563,32.88877869,80.68263245,72.38926697,67.85131836,112.9401016,50.50960541,263.4969482,141.2727356,101.6598053,39.15322876,43.04749298,62.70233154
12/04/2021,95.70638275,11.60117722,30.70999908,13.47487926,332.7211304,22.72127151,40.12801743,39.43099213,14.19999981,46.29558182,1367.973999,155.5572205,182.7095032,57.43852997,135.5697632,18.79000092,102.3219376,90.44125366,235.2177734,33.2662735,80.19974518,71.56777191,67.92481232,109.0272903,50.28347397,263.137146,139.5847626,103.634491,39.6748848,43.18681335,62.21200943
13/04/2021,95.8433609,11.59120178,32.38999939,13.50348854,342.4310913,22.59308434,39.82169342,40.47887421,13.96000004,47.01266098,1364.390137,155.123703,187.2888641,57.49652863,136.5947266,18.80999947,102.6899033,90.52186584,234.3813324,33.25683594,80.24969482,75.85892487,68.21878052,114.4495697,49.34413147,263.2271118,140.2099304,102.855484,40.01936722,42.46419144,62.80040359
14/04/2021,95.23149872,11.86053371,34.02999878,13.52256107,340.5695496,22.84945869,40.08015823,40.47887421,14.68999958,47.4252243,1366.450928,154.6227264,186.5830078,58.0958519,136.2399445,18.95999908,106.0016403,91.48017883,233.52565,33.60601425,79.80012512,75.25971222,70.43271637,113.1424866,50.02467346,263.9667358,140.6564941,104.0964508,49.1629982,42.19536591,62.87885284
15/04/2021,95.02145386,12.02013683,33.99000168,13.61792469,337.2206421,23.04174042,40.08972931,41.23768234,14.97000027,47.33681488,1364.489868,154.776886,184.6290436,58.52118301,136.9199371,19.20999908,106.6412048,94.20291901,236.890686,33.43614197,79.75849152,75.38535309,69.70698547,112.1052551,49.75629425,275.5913086,139.9509277,103.9424667,47.991745,40.31359482,62.03549576
16/04/2021,95.1401825,12.11988831,34.38000107,13.80865097,337.4451599,23.49039841,39.89827728,40.57823563,15.03999996,47.71008682,1370.960449,153.8134918,184.2675018,59.11083984,135.1952515,19.29000092,106.5974045,92.85051727,241.697937,33.96463013,78.39310455,75.36602783,71.59020996,111.7004929,50.19720078,283.7875061,140.2456512,103.4352036,51.28896713,40.02485657,62.40814209
19/04/2021,95.46894073,12.22961617,34.59000015,13.67514229,328.4741821,23.23402214,39.2856369,40.63243866,14.56000042,45.80443573,1365.893311,151.1930847,179.8430939,56.42354584,137.2155914,19.05999947,104.9240189,91.69513702,237.0637665,33.59657288,79.1007843,76.02322388,71.26869202,109.3308716,50.38890839,273.1524658,140.0670319,103.9424667,52.61769104,39.98503494,60.93717575
20/04/2021,99.27710724,12.70842648,34.61000061,13.8944788,326.1261902,23.63460922,40.01314926,41.34608078,14.71000004,45.98125076,1371.866333,153.3607025,179.2061157,56.56854248,139.3640594,19.46999931,103.9077148,91.61453247,239.4673767,34.34211731,79.80012512,76.28418732,70.85529327,109.5585632,51.19405746,273.7321777,141.2459259,105.7269211,52.57831955,40.12442398,62.66310883
21/04/2021,101.3592682,13.45656776,35.79999924,13.82772541,333.1888428,24.0351963,40.42476654,40.41563797,14.85000038,47.03230667,1372.264526,154.7190704,184.4482727,58.7435112,139.4724731,19.5,104.0128555,93.45954132,238.2271118,35.1631546,81.34867096,75.96524811,73.97869873,109.6428909,51.56787491,284.8969727,144.0056763,102.4116287,52.53895569,40.13438034,62.05510712
22/04/2021,103.2496414,13.96530342,36.50999832,13.88494301,334.3674927,25.08473206,40.7980957,40.37046814,14.69999981,47.51362991,1400.3573,155.0562439,184.6290436,59.24617004,140.5171356,19.57999992,106.8777542,91.62349701,226.2474976,35.33302689,81.64838409,76.1391983,73.39995575,112.9738464,54.24211884,284.6670837,145.0059509,101.1434937,51.55471039,39.79586411,63.32994461
23/04/2021,104.646698,13.89547729,35.75999832,13.82772541,333.2543335,25.27701378,40.2428894,40.24399948,15.06999969,47.21894073,1430.192261,154.6901855,187.3577118,60.06782913,138.9402771,19.61000061,106.8514786,91.18462372,223.9111786,35.49346161,82.31443024,77.35696411,72.33432007,113.3111343,53.53282547,277.4204407,145.461441,100.8083344,49.96023178,38.90974045,63.79085541
